"日時","仮想ｷｰｺｰﾄﾞ","ｽｷｬﾝｺｰﾄﾞ","拡張ｷｰﾌﾗｸﾞ","ｲﾍﾞﾝﾄ挿入ﾌﾗｸﾞ","ｺﾝﾃｷｽﾄｺｰﾄﾞ","遷移状態ﾌﾗｸﾞ","ﾀｲﾑｽﾀﾝﾌﾟ","追加情報","仮想ｷｰｺｰﾄﾞ定数","キー"
"08/31 18:22:31.937","0xBF","0x35","False","False","False","True","386062","0","VK_OEM_2","OEM2キー"
"08/31 18:22:32.165","0xFF","0x73","False","False","False","False","386281","0","",""
"08/31 18:22:32.235","0xFF","0x73","False","False","False","True","386359","0","",""
"08/31 18:22:33.610","0xA1","0x36","True","False","False","False","387734","0","VK_RSHIFT","右Shiftキー"
"08/31 18:22:33.655","0xA1","0x36","True","False","False","True","387781","0","VK_RSHIFT","右Shiftキー"
"08/31 18:22:34.677","0xFF","0x63","True","False","False","False","388796","0","",""
"08/31 18:22:34.713","0xFF","0x63","True","False","False","True","388796","0","",""
"08/31 18:22:34.925","0xA2","0x1D","False","False","False","False","389046","0","VK_LCONTROL","左Ctrlキー"
"08/31 18:22:34.989","0xA2","0x1D","False","False","False","True","389109","0","VK_LCONTROL","左Ctrlキー"
"08/31 18:22:35.269","0x5B","0x5B","True","False","False","False","389390","0","VK_LWIN","左Windowsキー"
"08/31 18:22:35.339","0x5B","0x5B","True","False","False","True","389453","0","VK_LWIN","左Windowsキー"
"08/31 18:22:35.623","0xA4","0x38","False","False","True","False","389734","0","VK_LMENU","左Altキー"
"08/31 18:22:35.704","0xA4","0x38","False","False","False","True","389828","0","VK_LMENU","左Altキー"
"08/31 18:22:36.423","0xFF","0x7B","False","False","False","False","390546","0","",""
"08/31 18:22:36.493","0xFF","0x7B","False","False","False","True","390609","0","",""
"08/31 18:22:36.832","0x20","0x39","False","False","False","False","390953","0","VK_SPACE","スペースキー"
"08/31 18:22:36.894","0x20","0x39","False","False","False","True","391015","0","VK_SPACE","スペースキー"
"08/31 18:22:37.432","0xFF","0x79","False","False","False","False","391546","0","",""
"08/31 18:22:37.502","0xFF","0x79","False","False","False","True","391625","0","",""
"08/31 18:22:37.829","0xFF","0x70","False","False","False","False","391953","0","",""
"08/31 18:22:37.892","0xFF","0x70","False","False","False","True","392015","0","",""
"08/31 18:22:38.209","0x19","0x38","True","False","False","False","392328","0","VK_KANJI","IME 漢字モード"
"08/31 18:22:38.280","0x19","0x38","True","False","False","True","392390","0","VK_KANJI","IME 漢字モード"
"08/31 18:22:38.616","0x2C","0x37","True","False","False","False","392734","0","VK_SNAPSHOT","PrintScreenキー"
"08/31 18:22:38.686","0x2C","0x37","True","False","False","True","392796","0","VK_SNAPSHOT","PrintScreenキー"
"08/31 18:22:38.982","0xF2","0x1D","True","False","False","True","393093","0","VK_OEM_COPY","OEM固有"
"08/31 18:22:38.984","0xF1","0x1D","True","False","False","False","393093","0","VK_OEM_FINISH","OEM固有"
